Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Lotus,Bilibili Gaming,13,9,4,,Trace Esports,11,8,3,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Sunset,Bilibili Gaming,13,6,6,1,Trace Esports,15,6,6,3,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Bind,Bilibili Gaming,12,4,8,0,Trace Esports,14,4,8,2,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,FunPlus Phoenix,13,8,5,,Dragon Ranger Gaming,10,6,4,,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Breeze,FunPlus Phoenix,13,9,4,,Dragon Ranger Gaming,6,3,3,,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Sunset,EDward Gaming,14,7,5,2,Trace Esports,12,7,5,0,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,EDward Gaming vs Trace Esports,Bind,EDward Gaming,13,8,5,,Trace Esports,6,2,4,,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Breeze,FunPlus Phoenix,12,5,7,0,EDward Gaming,14,5,7,2,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Split,FunPlus Phoenix,6,5,1,,EDward Gaming,13,6,7,,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Icebox,FunPlus Phoenix,13,6,7,,EDward Gaming,8,2,6,,
Champions Tour 2024: China Kickoff,Playoffs,Grand Final,FunPlus Phoenix vs EDward Gaming,Ascent,FunPlus Phoenix,14,6,6,2,EDward Gaming,16,6,6,4,
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Lotus,FUT Esports,11,7,4,,Team Heretics,13,8,5,,59:29
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),FUT Esports vs Team Heretics,Bind,FUT Esports,10,5,5,,Team Heretics,13,6,7,,50:07
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Split,GIANTX,11,6,5,,Karmine Corp,13,7,6,,1:01:38
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Sunset,GIANTX,13,7,6,,Karmine Corp,10,5,5,,48:18
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (A),GIANTX vs Karmine Corp,Lotus,GIANTX,4,3,1,,Karmine Corp,13,4,9,,41:04
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Bind,Natus Vincere,8,4,4,,BBL Esports,13,5,8,,49:25
Champions Tour 2024: EMEA Kickoff,Group Stage,Opening (B),Natus Vincere vs BBL Esports,Ascent,Natus Vincere,13,6,7,,BBL Esports,6,0,6,,40:33
