Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Split,Leviatán,2,1,0,0,6,0,6,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Split,Sentinels,6,0,6,1,2,1,0,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Breeze,Leviatán,8,2,3,0,3,2,1,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Breeze,Sentinels,3,2,1,0,8,2,3,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Bind,Leviatán,5,1,3,0,7,3,3,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Bind,Sentinels,7,3,3,0,5,1,3,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Split,G2 Esports,10,1,1,1,8,0,0,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Split,KRÜ Esports,8,0,0,0,10,1,1,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Sunset,G2 Esports,9,2,2,0,8,0,0,0
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Sunset,KRÜ Esports,8,0,0,0,9,2,2,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Split,MIBR,4,0,3,0,8,0,4,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Split,Sentinels,8,0,4,1,4,0,3,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Ascent,MIBR,5,1,0,0,10,0,3,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Ascent,Sentinels,10,0,3,0,5,1,0,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Sunset,G2 Esports,4,0,5,0,8,0,4,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Sunset,MIBR,8,0,4,1,4,0,5,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Split,G2 Esports,7,2,5,1,10,1,2,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Split,MIBR,10,1,2,0,7,2,5,1
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Breeze,G2 Esports,2,2,4,2,9,1,3,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Breeze,MIBR,9,1,3,0,2,2,4,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sunset,Sentinels,5,1,7,0,1,0,5,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sunset,G2 Esports,1,0,5,2,5,1,7,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Breeze,Sentinels,5,1,3,0,10,0,3,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Breeze,G2 Esports,10,0,3,0,5,1,3,0
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Split,Sentinels,4,1,4,0,7,2,2,2
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Split,G2 Esports,7,2,2,2,4,1,4,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Ascent,Evil Geniuses,12,0,1,0,4,1,1,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Ascent,LOUD,4,1,1,1,12,0,1,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Icebox,Evil Geniuses,6,0,1,0,7,1,5,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Icebox,LOUD,7,1,5,0,6,0,1,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Sunset,Evil Geniuses,5,0,0,0,7,1,5,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Sunset,LOUD,7,1,5,0,5,0,0,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sunset,NRG Esports,8,2,4,0,9,3,4,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sunset,Sentinels,9,3,4,0,8,2,4,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Ascent,NRG Esports,8,2,3,0,3,3,1,1
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Ascent,Sentinels,3,3,1,1,8,2,3,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Split,NRG Esports,1,1,1,0,6,0,7,0
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Split,Sentinels,6,0,7,0,1,1,1,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sunset,LOUD,3,2,4,0,8,1,4,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sunset,Sentinels,8,1,4,0,3,2,4,0
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Split,LOUD,2,1,0,0,7,1,3,2
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Split,Sentinels,7,1,3,2,2,1,0,0
